date,tmpc,relh,year
1979-12-12,15.142857142857142,82.51380952380953,1979
1979-12-13,13.45,86.865,1979
1979-12-14,13.73913043478261,83.0313043478261,1979
1979-12-15,13.0,83.01523809523809,1979
1979-12-16,13.95,82.563,1979
1979-12-17,15.277777777777779,88.64777777777778,1979
1979-12-18,14.65,86.157,1979
1979-12-19,13.090909090909092,82.67363636363636,1979
1979-12-20,12.9375,86.3125,1979
1979-12-21,15.5625,73.29,1979
1979-12-22,11.88888888888889,64.0488888888889,1979
1979-12-23,9.052631578947368,71.63421052631578,1979
1979-12-24,10.954545454545455,83.09045454545455,1979
1979-12-25,13.125,84.54333333333334,1979
1979-12-26,11.130434782608695,85.08869565217391,1979
1979-12-27,11.7,89.8445,1979
1979-12-28,11.238095238095237,86.43047619047618,1979
1979-12-29,11.090909090909092,75.93136363636364,1979
1979-12-30,11.608695652173912,76.86391304347826,1979
1979-12-31,11.35,69.176,1979
1980-01-01,10.0,77.14772727272727,1980
1980-01-02,12.041666666666666,80.97916666666667,1980
1980-01-03,8.952380952380953,68.94428571428571,1980
1980-01-04,9.8,78.1055,1980
1980-01-05,10.826086956521738,74.72652173913043,1980
1980-01-06,10.863636363636363,80.71045454545455,1980
1980-01-07,11.238095238095237,78.14666666666666,1980
1980-01-08,10.434782608695652,80.49521739130435,1980
1980-01-09,8.761904761904763,86.13904761904762,1980
1980-01-10,8.8,90.1335,1980
1980-01-11,9.826086956521738,92.8695652173913,1980
1980-01-12,10.411764705882353,79.92176470588235,1980
1980-01-13,10.235294117647058,81.94823529411764,1980
1980-01-14,12.782608695652174,82.02478260869565,1980
1980-01-15,12.882352941176471,70.59705882352942,1980
1980-01-16,10.0,82.48608695652175,1980
1980-01-17,10.38888888888889,72.335,1980
1980-01-18,11.0,70.94954545454546,1980
1980-01-19,9.526315789473685,77.66947368421053,1980
1980-01-20,10.470588235294118,73.29117647058824,1980
1980-01-21,10.15,84.5095,1980
1980-01-22,9.722222222222221,84.42666666666668,1980
1980-01-23,10.0,76.8664705882353,1980
1980-01-24,10.761904761904763,72.37047619047618,1980
1980-01-25,13.217391304347826,60.99304347826087,1980
1980-01-26,12.652173913043478,74.82913043478261,1980
1980-01-27,11.904761904761905,81.50761904761904,1980
1980-01-28,10.090909090909092,86.82681818181818,1980
1980-01-29,12.7,86.5485,1980
1980-01-30,11.863636363636363,93.97454545454546,1980
1980-01-31,11.73913043478261,87.49913043478261,1980
1980-02-01,12.695652173913043,81.90913043478261,1980
1980-02-02,11.25,82.637,1980
1980-02-03,11.142857142857142,79.40428571428572,1980
1980-02-04,13.136363636363637,71.20772727272727,1980
1980-02-05,15.545454545454545,66.97681818181819,1980
1980-02-06,14.928571428571429,79.08928571428571,1980
1980-02-07,13.181818181818182,84.33045454545454,1980
1980-02-08,11.727272727272727,83.50500000000001,1980
1980-02-09,11.9,84.3155,1980
1980-02-10,13.117647058823529,85.10764705882353,1980
1980-02-11,12.85,84.399,1980
1980-02-12,12.818181818181818,84.80318181818183,1980
1980-02-13,11.526315789473685,82.28894736842105,1980
1980-02-14,10.26086956521739,83.07608695652173,1980
1980-02-15,10.695652173913043,85.41608695652174,1980
1980-02-16,11.6,81.301,1980
1980-02-17,11.863636363636363,84.10409090909091,1980
1980-02-18,10.772727272727273,87.83272727272727,1980
1980-02-19,11.142857142857142,80.10142857142857,1980
1980-02-20,13.954545454545455,76.78954545454545,1980
1980-02-21,13.411764705882353,83.02117647058824,1980
1980-02-22,14.5625,87.59125,1980
1980-02-23,12.285714285714286,90.97095238095238,1980
1980-02-24,13.391304347826088,83.37391304347827,1980
1980-02-25,11.421052631578947,90.75947368421053,1980
1980-02-26,9.833333333333334,86.01666666666667,1980
1980-02-27,9.909090909090908,80.73454545454545,1980
1980-02-28,9.6,82.776,1980
1980-02-29,11.5,80.243,1980
1980-03-01,10.705882352941176,83.97529411764705,1980
1980-03-02,11.652173913043478,83.87304347826087,1980
1980-03-03,13.210526315789474,75.40368421052632,1980
1980-03-04,14.5,73.94444444444444,1980
1980-03-05,14.15,82.5855,1980
1980-03-06,13.272727272727273,88.81818181818181,1980
1980-03-07,13.25,82.241875,1980
1980-03-08,12.722222222222221,77.45055555555555,1980
1980-03-09,12.5,70.99166666666666,1980
1980-03-10,12.222222222222221,69.64111111111112,1980
1980-03-11,10.75,79.099375,1980
1980-03-12,9.722222222222221,91.59277777777778,1980
1980-03-13,11.619047619047619,80.20857142857143,1980
1980-03-14,9.1,82.8365,1980
1980-03-15,7.739130434782608,82.9213043478261,1980
1980-03-16,8.727272727272727,84.28590909090909,1980
1980-03-17,10.0,83.318,1980
1980-03-18,11.55,83.587,1980
1980-03-19,13.772727272727273,87.57181818181817,1980
1980-03-20,15.095238095238095,78.38952380952381,1980
1980-03-21,14.5,82.0515,1980
1980-03-22,15.95,74.315,1980
1980-03-23,13.636363636363637,73.56636363636363,1980
1980-03-24,12.3,79.4915,1980
1980-03-25,11.904761904761905,85.93809523809524,1980
